自然增长id,道馆弟子宝箱奖励（道具ID1;道具数量|道具ID2;道具数量2）,BOSS战斗回合数(玩家最多和BOSS战斗的回合数量，不填代表正常战斗，>0代表回合数),"战胜获得名望经验（获得名望经验=关卡经验+Max(造成伤害x造成伤害额外获得经验系数,exLimitExp))","战胜获得道馆币（获得道馆币=关卡道馆币+Max(造成伤害x造成伤害额外获得道馆币系数,exLimitGold))",造成伤害额外获得名望经验的系数（公式在GYMEXP字段）,"造成伤害额外获得名望极值（超过这个值则等于这个值,不填表示没有限制）",造成伤害额外道获得馆币计算系数（公式在GYMGold字段）,造成伤害额外道获得馆币极值（超过这个值则等于这个值，不填表示没有限制）,敌方阵型,关卡怪物（引用怪物能力表）,是否为boss,Npc展示(道馆弟子形象，包括boss),坐标X,坐标Y,"人物朝向(1:下,2:左,3:右,4:上)",背景地图资源,下一关卡id,普通集字掉落(普通lootid;数量|lootid;数量）
number,string,number,number,number,double,number,double,number,number,number,number,number,number,number,number,number,number,string
id,rewardBoxPreview,bossBattleRound,GYMExp,GYMGold,exGYMExpcoefficient,exLimitExp,exGYMGoldcoefficient,exLimitGold,bossFormation,bossID,isBoss,npcShow,locationX,locationY,Direction,maps,NextMission,collentLoot
1,,,500,50,0,,0,,1,5200001,,10013,264,696,3,1,2,
2,,,520,52,0,,0,,1,5200002,,10013,414,456,2,2,3,
3,10040;200|1;20000|10041;1|12301;5,,540,54,0,,0,,1,5200003,,10005,160,332,3,3,4,
4,,,560,56,0,,0,,1,5200004,,10005,382,182,1,4,5,
5,,3,1000,100,0.02,12000,0.005,350,1,5200005,1,6,308,38,1,5,,
6,,,600,60,0,,0,,1,5200011,,102,416,738,2,1,7,
7,,,620,62,0,,0,,1,5200012,,102,202,536,1,2,8,
8,10040;216|1;25000|10041;1|12301;5,,640,64,0,,0,,1,5200013,,104,478,350,2,3,9,
9,,,660,66,0,,0,,1,5200014,,104,214,290,3,4,10,
10,,3,1000,100,0.02,12000,0.005,350,1,5200015,1,9,308,38,1,5,,
11,,,700,70,0,,0,,1,5200021,,10008,290,806,1,1,12,
12,,,720,72,0,,0,,1,5200022,,10008,516,516,2,2,13,
13,10040;230|1;30000|10041;1|12301;5,,740,74,0,,0,,1,5200023,,10010,182,640,4,3,14,
14,,,760,76,0,,0,,1,5200024,,10010,520,348,2,4,15,
15,,3,1000,100,0.02,15000,0.005,425,1,5200025,1,4,514,76,1,5,,
16,,,800,80,0,,0,,1,5200031,,10009,204,794,1,1,17,
17,,,830,83,0,,0,,1,5200032,,10009,514,562,1,2,18,
18,10040;254|1;37500|10041;1|12301;5,,860,86,0,,0,,1,5200033,,10015,142,504,1,3,19,
19,,,890,89,0,,0,,1,5200034,,10015,90,234,1,4,20,
20,,3,1500,150,0.02,15000,0.005,425,1,5200035,1,1,300,2,1,5,,
21,,,950,95,0,,0,,1,5200041,,10016,156,810,1,1,22,
22,,,980,98,0,,0,,1,5200042,,10016,284,612,3,2,23,
23,10040;280|1;45000|10041;1|12301;6,,1010,101,0,,0,,1,5200043,,10014,192,416,3,3,24,
24,,,1040,104,0,,0,,1,5200044,,10014,338,262,2,4,25,
25,,3,1500,150,0.02,15000,0.005,425,1,5200045,1,7,312,50,1,5,,
26,,,1100,110,0,,0,,1,5200051,,103,306,884,1,1,27,
27,,,1130,113,0,,0,,1,5200052,,103,350,664,2,2,28,
28,10040;310|1;55000|10041;1|12301;6,,1160,116,0,,0,,1,5200053,,19,308,476,4,3,29,
29,,,1190,119,0,,0,,1,5200054,,19,480,260,1,4,30,
30,,3,1500,150,0.02,18000,0.005,500,1,5200055,1,2,312,152,1,5,,
31,,,1260,126,0,,0,,1,5200061,,10000,120,818,3,1,32,
32,,,1300,130,0,,0,,1,5200062,,10000,548,672,2,2,33,
33,10040;350|1;65000|10041;1|12301;7,,1340,134,0,,0,,1,5200063,,10007,266,448,1,3,34,
34,,,1380,138,0,,0,,1,5200064,,10007,488,234,2,4,35,
35,,3,2000,200,0.02,18000,0.005,500,1,5200065,1,3,104,54,1,5,,
36,,,1460,146,0,,0,,1,5200071,,105,402,860,1,1,37,
37,,,1500,150,0,,0,,1,5200072,,105,248,734,3,2,38,
38,10040;390|1;80000|10041;1|12301;7,,1540,154,0,,0,,1,5200073,,105,398,508,2,3,39,
39,,,1580,158,0,,0,,1,5200074,,105,226,290,3,4,40,
40,,3,2000,200,0.02,18000,0.005,500,1,5200075,1,8,318,134,1,5,,
41,,,1660,166,0,,0,,1,5200081,,10001,488,780,1,1,42,
42,,,1700,170,0,,0,,1,5200082,,10001,164,868,3,2,43,
43,10040;432|1;100000|10041;1|12301;8,,1740,174,0,,0,,1,5200083,,10002,270,366,2,3,44,
44,,,1780,178,0,,0,,1,5200084,,10002,564,248,2,4,45,
45,,3,2000,200,0.02,18000,0.005,500,1,5200085,1,5,494,34,1,5,,
