ID,开启等级,道具；数量,售价（RMB）,限购次数,邮件标题,邮件描述,充值id
number,number,string,number,number,string,string,number
ID,OpenLv,item,price,limit,title,desc,recharge
1,30,10089;100,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,20
2,30,10089;600,30,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,21
3,30,12201;15,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,22
4,30,12201;100,30,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,23
5,30,10087;20,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,24
6,30,10090;20,30,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,25
7,30,1;2000000,6,10,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,26
8,30,3;2000000,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,27
9,30,10358;1,30,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,28
10,30,10359;1,30,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,29
11,30,13002;1,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,30
12,30,13003;1,98,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,31
13,60,10089;100,6,10,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,32
14,60,10089;600,30,2,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,33
15,60,12201;15,6,10,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,34
16,60,12201;100,30,2,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,35
17,60,10087;20,6,10,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,36
18,60,10090;20,30,2,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,37
19,60,13066;2500,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,38
20,60,13062;80,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,39
21,60,10354;1,60,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,40
22,60,10355;1,60,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,41
23,60,13002;1,6,5,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,42
24,60,13003;1,98,1,神奇商店获得,亲爱的冒险家，恭喜您获得了神奇商店的特殊奖励!!!,43
